Time,Test value 0
2023-01-20 22:46:51.892215,8
2023-01-20 22:46:52.393580,56
2023-01-20 22:46:52.894662,84
2023-01-20 22:46:53.395796,73
2023-01-20 22:46:53.896717,59
2023-01-20 22:46:54.397740,54
2023-01-20 22:46:54.898613,23
2023-01-20 22:46:55.399577,35
2023-01-20 22:46:55.900637,62
2023-01-20 22:46:56.401834,2
2023-01-20 22:46:56.902781,40
2023-01-20 22:46:57.403692,34
2023-01-20 22:46:57.904669,34
2023-01-20 22:46:58.405677,18
2023-01-20 22:46:58.906708,56
2023-01-20 22:46:59.408052,35
2023-01-20 22:46:59.909123,1
2023-01-20 22:47:00.410128,10
2023-01-20 22:47:00.911091,71
2023-01-20 22:47:01.411977,14
2023-01-20 22:47:01.912929,62
2023-01-20 22:47:02.413865,5
2023-01-20 22:47:02.914769,12
2023-01-20 22:47:03.415719,96
2023-01-20 22:47:03.916650,15
2023-01-20 22:47:04.417657,97
2023-01-20 22:47:04.918694,70
2023-01-20 22:47:05.419909,54
2023-01-20 22:47:05.920806,73
2023-01-20 22:47:06.421764,11
2023-01-20 22:47:06.923061,47
2023-01-20 22:47:07.424202,78
2023-01-20 22:47:07.925179,100
2023-01-20 22:47:08.426207,60
2023-01-20 22:47:08.927617,3
2023-01-20 22:47:09.428687,36
2023-01-20 22:47:09.929633,14
2023-01-20 22:47:10.430466,64
2023-01-20 22:47:10.931501,85
2023-01-20 22:47:11.432659,94
2023-01-20 22:47:11.933653,42
2023-01-20 22:47:12.434532,5
2023-01-20 22:47:12.935530,30
2023-01-20 22:47:13.436397,69
2023-01-20 22:47:13.937412,43
2023-01-20 22:47:14.438656,26
2023-01-20 22:47:14.939542,43
2023-01-20 22:47:15.440503,81
2023-01-20 22:47:15.941512,60
2023-01-20 22:47:16.442400,96
2023-01-20 22:47:16.943318,49
2023-01-20 22:47:17.444273,72
2023-01-20 22:47:17.945192,82
2023-01-20 22:47:18.446489,23
2023-01-20 22:47:18.947440,85
2023-01-20 22:47:19.449426,73
2023-01-20 22:47:19.950412,53
2023-01-20 22:47:20.451357,4
2023-01-20 22:47:20.952307,51
2023-01-20 22:47:21.453453,56
2023-01-20 22:47:21.954449,60
2023-01-20 22:47:22.456144,62
2023-01-20 22:47:22.957109,61
2023-01-20 22:47:23.458136,51
2023-01-20 22:47:23.959157,59
2023-01-20 22:47:24.460123,57
2023-01-20 22:47:24.961104,65
2023-01-20 22:47:25.462161,93
2023-01-20 22:47:25.963200,60
2023-01-20 22:47:26.464273,61
2023-01-20 22:47:26.965205,75
2023-01-20 22:47:27.466279,23
2023-01-20 22:47:27.967227,83
2023-01-20 22:47:28.468326,35
2023-01-20 22:47:28.969269,65
2023-01-20 22:47:29.470349,29
2023-01-20 22:47:29.971473,98
2023-01-20 22:47:30.472380,37
2023-01-20 22:47:30.973270,26
