Time,Test value 0
2023-01-20 22:19:59.757265,52
2023-01-20 22:20:00.259628,42
2023-01-20 22:20:00.760752,46
2023-01-20 22:20:01.261703,86
2023-01-20 22:20:01.762705,3
2023-01-20 22:20:02.263953,0
2023-01-20 22:20:02.764960,58
2023-01-20 22:20:03.266295,87
2023-01-20 22:20:03.767588,100
2023-01-20 22:20:04.268848,72
2023-01-20 22:20:04.770159,93
2023-01-20 22:20:05.271474,66
2023-01-20 22:20:05.772620,15
2023-01-20 22:20:06.273586,19
2023-01-20 22:20:06.774648,95
2023-01-20 22:20:07.281463,94
2023-01-20 22:20:07.782750,45
2023-01-20 22:20:08.283698,1
2023-01-20 22:20:08.784701,64
2023-01-20 22:20:09.285879,82
2023-01-20 22:20:09.786856,29
2023-01-20 22:20:10.287889,21
2023-01-20 22:20:10.789019,91
2023-01-20 22:20:11.290536,1
2023-01-20 22:20:11.791568,93
2023-01-20 22:20:12.292872,98
2023-01-20 22:20:12.794152,44
2023-01-20 22:20:13.295417,14
2023-01-20 22:20:13.796756,59
2023-01-20 22:20:14.298066,46
2023-01-20 22:20:14.799212,82
2023-01-20 22:20:15.300551,78
2023-01-20 22:20:15.801844,85
2023-01-20 22:20:16.303302,55
2023-01-20 22:20:16.804320,7
2023-01-20 22:20:17.306370,17
2023-01-20 22:20:17.807462,65
2023-01-20 22:20:18.308554,72
2023-01-20 22:20:18.809866,40
2023-01-20 22:20:19.311231,8
2023-01-20 22:20:19.812611,72
2023-01-20 22:20:20.313918,98
2023-01-20 22:20:20.815149,61
2023-01-20 22:20:21.316464,78
2023-01-20 22:20:21.817725,36
2023-01-20 22:20:22.318755,52
2023-01-20 22:20:22.820144,5
2023-01-20 22:20:23.321452,68
2023-01-20 22:20:23.822678,55
2023-01-20 22:20:24.323937,22
2023-01-20 22:20:24.825252,63
2023-01-20 22:20:25.326548,14
2023-01-20 22:20:25.827852,85
2023-01-20 22:20:26.329122,60
2023-01-20 22:20:26.830403,96
2023-01-20 22:20:27.331565,89
2023-01-20 22:20:27.832602,18
2023-01-20 22:20:28.333910,41
2023-01-20 22:20:28.835222,49
2023-01-20 22:20:29.336526,6
2023-01-20 22:20:29.837891,67
2023-01-20 22:20:30.339167,55
2023-01-20 22:20:30.840458,27
2023-01-20 22:20:31.341761,9
2023-01-20 22:20:31.843076,36
2023-01-20 22:20:32.344285,14
2023-01-20 22:20:32.845371,78
2023-01-20 22:20:33.346534,49
2023-01-20 22:20:33.847883,76
2023-01-20 22:20:34.349279,88
2023-01-20 22:20:34.850576,23
2023-01-20 22:20:35.352030,96
2023-01-20 22:20:35.853569,54
2023-01-20 22:20:36.354918,25
2023-01-20 22:20:36.856228,45
2023-01-20 22:20:37.357657,87
2023-01-20 22:20:37.858979,16
2023-01-20 22:20:38.359998,77
2023-01-20 22:20:38.861458,93
2023-01-20 22:20:39.362715,47
2023-01-20 22:20:39.864080,21
2023-01-20 22:20:40.365519,48
2023-01-20 22:20:40.866830,28
2023-01-20 22:20:41.368244,70
2023-01-20 22:20:41.869589,41
2023-01-20 22:20:42.371035,65
2023-01-20 22:20:42.872410,95
2023-01-20 22:20:43.373834,92
2023-01-20 22:20:43.874859,24
2023-01-20 22:20:44.376330,58
2023-01-20 22:20:44.877588,14
2023-01-20 22:20:45.378880,41
2023-01-20 22:20:45.880196,51
2023-01-20 22:20:46.381578,44
2023-01-20 22:20:46.882962,8
2023-01-20 22:20:47.384280,2
2023-01-20 22:20:47.885684,83
2023-01-20 22:20:48.386779,79
2023-01-20 22:20:48.887934,35
2023-01-20 22:20:49.388961,1
2023-01-20 22:20:49.890356,17
2023-01-20 22:20:50.391684,35
2023-01-20 22:20:50.893085,49
2023-01-20 22:20:51.394408,63
2023-01-20 22:20:51.895771,45
2023-01-20 22:20:52.397115,64
2023-01-20 22:20:52.898496,10
2023-01-20 22:20:53.399800,73
2023-01-20 22:20:53.901053,77
2023-01-20 22:20:54.402119,90
2023-01-20 22:20:54.903343,85
2023-01-20 22:20:55.404909,43
2023-01-20 22:20:55.906384,46
2023-01-20 22:20:56.407798,34
2023-01-20 22:20:56.909075,81
2023-01-20 22:20:57.410457,54
2023-01-20 22:20:57.911845,74
2023-01-20 22:20:58.413143,32
2023-01-20 22:20:58.914462,65
